region,parent_org,org_type,org_level,organization,project_detail,project_type,project_subtype,fiscal_year,budget_type,budget_amount,budget_dept,budget_category,sub_category,reference_url
서울,서울특별시,지방자치단체,광역,서울특별시,"기록관 환경정비(향균제 설치)(40,000원*29개*6회)",보존관리,보존환경 관리,2025,본예산,"6,960,000",디지털도시국 정보시스템과,100-201,01 사무관리비,https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시,지방자치단체,광역,서울특별시,중요기록물 정리사업,기록물관리,기록물 정리/기술,2025,본예산,"998,419,000",디지털도시국 정보시스템과,100-201,02 공공운영비,https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시,지방자치단체,광역,서울특별시,기록관리시스템 통합 유지보수,시스템 관리,시스템 운영/유지보수,2025,본예산,"528,699,000",디지털도시국 정보시스템과,100-201,02 공공운영비,https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시,지방자치단체,광역,서울특별시,전자기록물 인수 및 검수,기록물관리,이관/인수,2025,본예산,"297,677,000",디지털도시국 정보시스템과,100-207,02 전산개발비,https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시,지방자치단체,광역,서울특별시,안티바이러스 사용권(갱신)구매,시스템 관리,보안관리,2025,본예산,"17,000,000",서울기록원 운영지원과,100-201,01 사무관리비,https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시,지방자치단체,광역,서울특별시,디지털 아카이브 시스템 유지보수,시스템 관리,시스템 운영/유지보수,2025,본예산,"284,672,000",서울기록원 운영지원과,100-201,02 공공운영비,https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시,지방자치단체,광역,서울특별시,상용 S/W 유지보수,시스템 관리,시스템 운영/유지보수,2025,본예산,"18,933,000",서울기록원 운영지원과,100-201,02 공공운영비,https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시,지방자치단체,광역,서울특별시,중요 멀티미디어 기록물 디지털화 사업,전자화 사업,시청각기록물 디지털화,2025,본예산,"265,000,000",서울기록원 운영지원과,100-207,02 전산개발비,https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시,지방자치단체,광역,서울특별시,차세대 디지털아카이브 시스템 전환 ISMP 수립,특수사업,전략/계획 수립,2025,본예산,"200,000,000",서울기록원 운영지원과,100-207,02 전산개발비,https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시,지방자치단체,광역,서울특별시,중요기록 인수 및 정리 사업,기록물관리,기록물 정리/기술,2025,본예산,"356,000,000",서울기록원 운영지원과,100-201,01 사무관리비,https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시,지방자치단체,광역,서울특별시,기록물 복원처리 용역,보존관리,복원/복구처리,2025,본예산,"98,000,000",서울기록원 운영지원과,100-201,01 사무관리비,https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시,지방자치단체,광역,서울특별시,보존서고 환경관리,보존관리,보존환경 관리,2025,본예산,"28,464,000",서울기록원 운영지원과,100-201,01 사무관리비,https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시,지방자치단체,광역,서울특별시,서울기록화 사업,전자화 사업,디지털 아카이브 구축,2025,본예산,"166,000,000",서울기록원 운영지원과,100-201,01 사무관리비,https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
서울,서울특별시,지방자치단체,광역,서울특별시,소장 기록물 정리. 기술 및 검색. 탐색도구 개선,기록물관리,기록물 정리/기술,2025,본예산,"383,146,000",서울기록원 운영지원과,100-201,01 사무관리비,https://news.seoul.go.kr/gov/archives/category/tax-news_c1/info_budget_c1/data_document_budget-n2
